Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Age],[Location],[Reporting Type],[Sex]
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","1.11125","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","RURAL","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.27792","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","RURAL","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.41667","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","URBAN","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.34708","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","1.38875","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.55542","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","URBAN","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","2.70833","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","URBAN","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.34708","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","3.33333","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","RURAL","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.34708","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","RURAL","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","1.59708","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","URBAN","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","2.98625","2011","","","","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","0.41667","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","12+","RURAL","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","2.08333","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","12+","URBAN","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","0.41667","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","12+","URBAN","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","0.83333","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","15-24","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","2.08333","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","12+","RURAL","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","2.08333","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","12+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","3.33333","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","15-24","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","12","Algeria","2012","0.83333","2012","","","","Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.","Travel related to unpaid care work is not included.","CA","PERCENT","12+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","32","Argentina","2005","4.02792","2005","","","","Calculated by UNSD based on available country data from the Time use survey in Annual Household Survey 2005 to apply ICATUS.","","CA","PERCENT","15+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","32","Argentina","2005","1.52792","2005","","","","Calculated by UNSD based on available country data from the Time use survey in Annual Household Survey 2005 to apply ICATUS.","","CA","PERCENT","15+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","32","Argentina","2010","4.65292","2010","","","","Calculated by UNSD based on available country data from the Time-use and Volunteer Activities Survey to apply ICATUS.","","CA","PERCENT","15+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","32","Argentina","2010","1.66667","2010","","","","Calculated by UNSD based on available country data from the Time-use and Volunteer Activities Survey to apply ICATUS.","","CA","PERCENT","15+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","32","Argentina","2013","9.69299","2013","","","","Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.","Work for other households has been included under ""unpaid care work"" as it might include other family members.","CA","PERCENT","15+","ALLAREA","G","FEMALE"
