"seriesDescription","seriesCount","geoAreaCode","geoAreaName","timePeriodStart","value","Age","Location","Sex"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"2.70833","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"0.34708","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"3.33333","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"0.34708","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"1.11125","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"0.27792","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"0.41667","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"0.34708","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"1.38875","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"0.55542","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"1.59708","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","8","Albania",2011,"2.98625","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"0.83333","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"2.08333","12+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"2.08333","12+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"3.33333","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"0.83333","12+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"0.41667","12+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"2.08333","12+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","12","Algeria",2012,"0.41667","12+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","32","Argentina",2005,"4.02792","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","32","Argentina",2005,"1.52792","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","32","Argentina",2010,"4.65292","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","32","Argentina",2010,"1.66667","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","32","Argentina",2013,"9.69299","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","32","Argentina",2013,"3.89425","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2004,"3.75","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2004,"1.11125","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.63333","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.7875","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"3.62083","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.6375","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"3.25833","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"5.25417","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.96667","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"5.92083","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.475","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.5375","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"3.55833","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.0125","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"3.73333","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.25417","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"3.32083","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.475","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.1125","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.33333","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.725","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.72083","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.17917","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"2.10833","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.92083","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.7875","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.35","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.39583","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"4.425","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.79167","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"2.56667","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.59583","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.2875","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.62083","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.3625","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.52917","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"1.725","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","51","Armenia",2008,"0.49583","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","36","Australia",2006,"4.86125","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","36","Australia",2006,"2.01375","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.89375","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.37792","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.52583","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.425","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"3.03458","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.47167","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"6.95958","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.875","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.01542","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.08542","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.95208","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.69708","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.28417","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.59375","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.90708","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.48292","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.57625","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.43208","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.82792","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.78125","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"3.37625","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.89917","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.95083","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.93083","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.59625","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.09542","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"6.7625","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.41875","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.58167","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.58167","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.16333","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.7025","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.95417","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.28917","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.77958","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"7.0825","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.15625","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"0.61667","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"3.08167","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.23292","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"1.84","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","40","Austria",2009,"2.41833","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","112","Belarus",2015,"2.22208","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","112","Belarus",2015,"0.69458","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2000,"0.97208","12+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2000,"1.94458","12+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2005,"1.80542","12+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2005,"0.97208","12+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"2.08333","12+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"1.76667","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.87958","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.61375","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"1.1725","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.64625","45-54","ALLAREA","MALE"
